Run;MethodName;Duration(ms)
153;UpdateParentWithChildren;20.3042
153;DeleteParentWithChildren;22.0954
154;InsertParentWithChildren;18.1501
154;GetParentsWithChildren;2.0170
154;UpdateParentWithChildren;20.3957
154;DeleteParentWithChildren;21.8811
155;InsertParentWithChildren;12.6379
155;GetParentsWithChildren;1.7502
155;UpdateParentWithChildren;20.6246
155;DeleteParentWithChildren;22.5563
156;InsertParentWithChildren;20.9050
156;GetParentsWithChildren;1.9001
156;UpdateParentWithChildren;19.5322
156;DeleteParentWithChildren;21.4716
157;InsertParentWithChildren;21.2928
157;GetParentsWithChildren;1.8060
157;UpdateParentWithChildren;34.6420
157;DeleteParentWithChildren;20.7880
158;InsertParentWithChildren;13.2503
158;GetParentsWithChildren;1.6344
158;UpdateParentWithChildren;19.9733
158;DeleteParentWithChildren;9.3071
159;InsertParentWithChildren;20.4679
159;GetParentsWithChildren;1.6849
159;UpdateParentWithChildren;21.6044
159;DeleteParentWithChildren;10.7306
160;InsertParentWithChildren;17.2795
160;GetParentsWithChildren;1.4951
160;UpdateParentWithChildren;19.8592
160;DeleteParentWithChildren;21.5624
161;InsertParentWithChildren;13.1495
161;GetParentsWithChildren;1.5886
161;UpdateParentWithChildren;20.2239
161;DeleteParentWithChildren;22.4437
162;InsertParentWithChildren;23.0880
162;GetParentsWithChildren;1.8775
162;UpdateParentWithChildren;9.5802
162;DeleteParentWithChildren;21.8151
163;InsertParentWithChildren;20.9539
163;GetParentsWithChildren;1.7284
163;UpdateParentWithChildren;20.5541
163;DeleteParentWithChildren;20.7113
164;InsertParentWithChildren;9.4562
164;GetParentsWithChildren;1.6682
164;UpdateParentWithChildren;20.8140
164;DeleteParentWithChildren;17.8165
165;InsertParentWithChildren;13.0678
165;GetParentsWithChildren;1.7646
165;UpdateParentWithChildren;9.2089
165;DeleteParentWithChildren;21.4721
166;InsertParentWithChildren;8.8549
166;GetParentsWithChildren;1.6180
166;UpdateParentWithChildren;8.6369
166;DeleteParentWithChildren;21.2365
167;InsertParentWithChildren;21.1906
167;GetParentsWithChildren;1.5317
167;UpdateParentWithChildren;36.4068
167;DeleteParentWithChildren;21.6091
168;InsertParentWithChildren;21.7295
168;GetParentsWithChildren;1.8108
168;UpdateParentWithChildren;19.9200
168;DeleteParentWithChildren;21.5973
169;InsertParentWithChildren;21.8372
169;GetParentsWithChildren;1.8304
169;UpdateParentWithChildren;19.7283
